cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75,cell_type
30,3326.0,245.02438661763952,0.6961670877244169,265.88184004810586,147.871617558629,27,225,8.0,0.016111676964452454,0.018556876788119278,0.012045776089657333,0.01895777544879424,0.008174624286256068,0.02713239973505031,mitotic
45,3995.0,254.14927829866735,0.7772288021701969,674.4778473091365,208.5924906132666,57,399,13.0,0.029467739092295327,0.030057366594194296,0.016060346746426174,0.018823649828168483,0.019600080525343296,0.03842373035351178,mitotic
48,4415.0,272.6761902332485,0.7461843512617231,848.681087202718,215.50124575311438,56,297,7.0,0.00785734448066331,0.0311679459712525,0.03506682420046162,0.053257345298351896,0.002840463636416466,0.05609780893476836,mitotic
58,3618.0,387.8589103967956,0.30222534388056094,708.822277501382,290.70287451630736,32,275,7.0,0.006948180640059829,0.010079001801524382,0.007602548625563582,0.006009352250816354,0.0054883842504838435,0.011497736501300197,interphase
72,7993.0,472.14318164425754,0.4505803337799109,875.4557738020768,356.6024021018391,70,404,9.0,0.03052068326365613,0.04333937010300992,0.03766630157847183,0.05051618304277673,0.01144032929989414,0.061956512342670876,interphase
88,3724.0,250.79393923933998,0.7440214602503153,988.3966165413534,401.9033297529538,64,413,9.0,0.02400514628943136,0.027330614372807222,0.021052479059472794,0.02508527164956579,0.008638623902251195,0.033723895551816985,mitotic
90,2215.0,209.58073580374355,0.633695864691237,478.66139954853276,423.3115124153499,60,379,10.0,0.011946075330947612,0.025185610272927546,0.02375233572768975,0.03633811467104389,0.006424026837665107,0.042762141508708995,mitotic
93,3191.0,269.27922061357856,0.5530074536606902,324.59730492008777,449.61234722657474,43,327,7.0,0.07491584453984677,0.07077274253042226,0.06574779855140188,0.09401434711209189,0.008751801596133764,0.10276614870822565,mitotic
97,4305.0,300.00714267493635,0.6010627727394457,948.7749128919861,469.61114982578397,62,473,13.0,0.012836675744437928,0.022172606075186452,0.021719650421039523,0.021673009458789562,0.008228062938659726,0.029901072397449286,mitotic
98,3343.0,297.373629022557,0.4750522013977411,430.2046066407419,461.23152856715524,95,566,13.0,0.0377611883590076,0.06126502263172398,0.06411642116269446,0.051735812323432134,0.020052969897269943,0.07178878222070208,interphase
105,4794.0,316.651803615609,0.6008194198204558,337.6211931581143,491.30329578639964,107,572,12.0,0.019639861053490495,0.028117722578158404,0.023346946376425776,0.011926404947780744,0.016510413301535257,0.028436818249316,mitotic
110,3255.0,296.9533188057741,0.4638574008194138,433.1533026113671,492.431643625192,106,503,9.0,0.013982077979365199,0.030311034571479697,0.028269125157553903,0.04994901880610132,0.005235651246987158,0.05518467005308848,interphase
113,3104.0,259.37972567696687,0.5797750518436908,777.0338273195877,508.1617268041237,63,283,5.0,0.046816360831089414,0.06026300670084385,0.051861228406534364,0.03967263874056057,0.024101451328652598,0.06377409006921317,mitotic
117,2894.0,240.45079348883237,0.6290076996198257,572.6976503109883,518.3610919143055,48,256,5.0,0.0037173250794547063,0.03653159881593235,0.06214852284672342,0.011373978179201662,0.0025818851512648174,0.01395586333046648,mitotic
119,2559.0,261.45079348883235,0.4704356456089196,472.46385306760453,516.4118796404846,62,473,16.0,0.021215347128473484,0.023506192880948747,0.01957618040487561,0.01768428921241097,0.009214063377160422,0.026898352589571392,interphase
126,3498.0,300.3147545195113,0.4873896806697965,399.05345911949684,533.0177244139509,68,303,8.0,0.02994586131401758,0.17072754293934528,0.3581277089815818,0.04752551034013251,0.012938571497961805,0.06046408183809432,interphase
127,3632.0,261.73506473629425,0.6662418134937556,525.3436123348017,540.5669052863436,46,354,10.0,0.03358182091095621,0.03370936968321531,0.019532242401611843,0.03565644965986045,0.014064305826398693,0.04972075548625914,mitotic
128,3783.0,283.17871555019025,0.5928229255151549,320.5099127676447,538.3581813375628,57,235,6.0,0.03224662431899143,0.06627510631562387,0.06276299199676699,0.10436961932439964,0.015816047914230393,0.12018566723863003,mitotic
130,11509.0,578.0904037956216,0.4327687904466656,852.3667564514727,593.8961682161787,101,339,5.0,0.06135024740388797,0.05535386733367309,0.02732590470922016,0.04244551697720349,0.03118380802138027,0.07362932499858375,interphase
131,5205.0,396.56349186104046,0.4159155308888347,760.0155619596542,574.8691642651297,119,438,9.0,0.020436333715913024,0.04828722671309984,0.05385155435641831,0.04576789010781724,0.010195188435741881,0.05596307854355912,interphase
133,6654.0,356.22034611053283,0.6589541811691654,637.5952810339645,586.2847911030959,159,603,8.0,0.03533137518510196,0.05059297212668898,0.04721498286357489,0.059276454475372276,0.01166725618411915,0.07094371065949143,mitotic
139,6727.0,512.3452377915606,0.32203708291342376,292.7053664337743,658.988999554036,136,455,5.0,0.028247399807936217,0.12457771530928166,0.1332292356158564,0.21931302043004253,0.014905616795266094,0.2342186372253086,interphase
143,2548.0,210.33809511662426,0.7237247329361337,401.3308477237049,573.2217425431711,58,321,10.0,0.02122313941757974,0.021019906963109868,0.01709772038690749,0.030811553646132167,0.0037682367801411486,0.034579790426273314,mitotic
147,9308.0,410.0904037956216,0.6955158395670759,335.7322733132789,622.354426299957,168,602,7.0,0.06888808975225987,0.0988800949987357,0.1149354631377416,0.04601311201947887,0.0362422398896938,0.08225535190917267,mitotic
154,2141.0,226.67514421272202,0.5236230184976586,216.8528724894909,659.6772536198039,40,264,5.0,0.024759782411684736,0.031081377588309846,0.02623251508234974,0.021950556584440433,0.010547742050882315,0.03249829863532275,interphase
