FileName,TrackLength,Frequency
tracked_Traj_Em2.nd2_crop,2.5,0
tracked_Traj_Em2.nd2_crop,7.5,0
tracked_Traj_Em2.nd2_crop,12.5,267
tracked_Traj_Em2.nd2_crop,17.5,98
tracked_Traj_Em2.nd2_crop,22.5,45
tracked_Traj_Em2.nd2_crop,27.5,37
tracked_Traj_Em2.nd2_crop,32.5,15
tracked_Traj_Em2.nd2_crop,37.5,7
tracked_Traj_Em2.nd2_crop,42.5,14
tracked_Traj_Em2.nd2_crop,47.5,4
tracked_Traj_Em2.nd2_crop,52.5,4
tracked_Traj_Em2.nd2_crop,57.5,2
tracked_Traj_Em2.nd2_crop,62.5,5
tracked_Traj_Em2.nd2_crop,67.5,0
tracked_Traj_Em2.nd2_crop,72.5,3
tracked_Traj_Em2.nd2_crop,77.5,1
tracked_Traj_Em2.nd2_crop,82.5,3
tracked_Traj_Em2.nd2_crop,87.5,3
tracked_Traj_Em2.nd2_crop,92.5,1
tracked_Traj_Em2.nd2_crop,97.5,1
tracked_Traj_Em001.nd2_crop,2.5,0
tracked_Traj_Em001.nd2_crop,7.5,0
tracked_Traj_Em001.nd2_crop,12.5,80
tracked_Traj_Em001.nd2_crop,17.5,22
tracked_Traj_Em001.nd2_crop,22.5,17
tracked_Traj_Em001.nd2_crop,27.5,3
tracked_Traj_Em001.nd2_crop,32.5,4
tracked_Traj_Em001.nd2_crop,37.5,4
tracked_Traj_Em001.nd2_crop,42.5,5
tracked_Traj_Em001.nd2_crop,47.5,2
tracked_Traj_Em001.nd2_crop,52.5,3
tracked_Traj_Em001.nd2_crop,57.5,0
tracked_Traj_Em001.nd2_crop,62.5,0
tracked_Traj_Em001.nd2_crop,67.5,0
tracked_Traj_Em001.nd2_crop,72.5,1
tracked_Traj_Em001.nd2_crop,77.5,0
tracked_Traj_Em001.nd2_crop,82.5,1
tracked_Traj_Em001.nd2_crop,87.5,0
tracked_Traj_Em001.nd2_crop,92.5,0
tracked_Traj_Em001.nd2_crop,97.5,0
